accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,50.60500000000007,0
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,40.58,4
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,45.9,7
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.3333333333333333,2,0,40.0,67.49999999999994,20
0.8928571428571429,0.9130434782608695,0.9545454545454546,0.6666666666666666,0.9333333333333332,0.3333333333333333,2,1,40.0,40.1,33
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,90.295,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,42.595000000000034,69
0.92,0.9473684210526315,0.9473684210526315,0.8333333333333334,0.9473684210526315,0.0,1,1,40.0,40.115,72
0.8846153846153846,0.8695652173913043,1.0,0.5,0.9302325581395349,0.3333333333333333,3,0,40.0,40.1,73
0.8888888888888888,0.9130434782608695,0.9545454545454546,0.6,0.9333333333333332,0.5,2,1,40.0,140.0,88
