model,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,specificity_mean,specificity_std,specificity_min,specificity_max,hard_negative_fpr_mean,hard_negative_fpr_std,hard_negative_fpr_min,hard_negative_fpr_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,median_delay_s_mean,median_delay_s_std,median_delay_s_min,median_delay_s_max,p95_delay_s_mean,p95_delay_s_std,p95_delay_s_min,p95_delay_s_max
Source5_ET_accuracy,30,0.954022988505747,0.0365978365865677,0.8620689655172413,1.0,0.9677566373508404,0.0384314959793168,0.8518518518518519,1.0,0.9768115942028984,0.0391109952268524,0.8260869565217391,1.0,0.9711956554793214,0.023066882735391,0.9047619047619048,1.0,0.8666666666666667,0.1660909597074799,0.3333333333333333,1.0,0.1555555555555555,0.1904488212411219,0.0,0.6666666666666666,0.8,0.9965457582448796,0.0,4.0,0.5333333333333333,0.8995528902176071,0.0,4.0,20.66666666666665,18.07464566988671,1.5499999999999972,53.0,71.71833333333274,80.46958995466053,38.0,308.04999999999995
Source5_ET_balanced,30,0.9494252873563216,0.040227053861081,0.8620689655172413,1.0,0.9691455262397292,0.0388300372618697,0.8518518518518519,1.0,0.9695652173913044,0.048643686129319,0.8260869565217391,1.0,0.9679558613884632,0.0260676470190085,0.9047619047619048,1.0,0.8722222222222222,0.1677169969324086,0.3333333333333333,1.0,0.1444444444444444,0.1894402590519784,0.0,0.6666666666666666,0.7666666666666667,1.0063019815944514,0.0,4.0,0.7,1.118804780974337,0.0,4.0,20.881666666666653,17.86993469747314,1.9500000000000028,53.0,80.72266666666604,90.990924762832,38.0,308.12
Source5_ET_specificity,30,0.9494252873563216,0.040227053861081,0.8620689655172413,1.0,0.9691455262397292,0.0388300372618697,0.8518518518518519,1.0,0.9695652173913044,0.048643686129319,0.8260869565217391,1.0,0.9679558613884632,0.0260676470190085,0.9047619047619048,1.0,0.8722222222222222,0.1677169969324086,0.3333333333333333,1.0,0.1444444444444444,0.1894402590519784,0.0,0.6666666666666666,0.7666666666666667,1.0063019815944514,0.0,4.0,0.7,1.118804780974337,0.0,4.0,20.881666666666653,17.86993469747314,1.9500000000000028,53.0,80.72266666666604,90.990924762832,38.0,308.12
Source5_RF_accuracy,30,0.9563218390804598,0.0404303932553836,0.8620689655172413,1.0,0.95631520706883,0.0436268760224081,0.8518518518518519,1.0,0.9927536231884058,0.0257431956485547,0.8695652173913043,1.0,0.9733921315506582,0.0241759743394779,0.92,1.0,0.8166666666666664,0.1925330244847397,0.3333333333333333,1.0,0.2777777777777777,0.232977287192082,0.0,0.6666666666666666,1.1,1.1551981469084385,0.0,4.0,0.1666666666666666,0.59209349991676,0.0,3.0,34.23833333333334,15.43866442395204,0.0,53.0,124.89533333333203,77.43477297314337,38.0,307.8499999999988
Source5_RF_balanced,30,0.9551724137931036,0.0396280215174131,0.8620689655172413,1.0,0.9577040959577192,0.0443505794240468,0.8518518518518519,1.0,0.989855072463768,0.0272201006773605,0.8695652173913043,1.0,0.9726198699273326,0.0236599686184636,0.92,1.0,0.8222222222222221,0.1954135674010209,0.3333333333333333,1.0,0.2666666666666666,0.2381280765531689,0.0,0.6666666666666666,1.0666666666666669,1.1724814044061258,0.0,4.0,0.2333333333333333,0.6260623155792925,0.0,3.0,34.075,15.368534525070238,0.0,53.0,131.00349999999898,78.92330797450109,38.0,307.8499999999988
Source5_RF_specificity,30,0.9551724137931036,0.0396280215174131,0.8620689655172413,1.0,0.9577040959577192,0.0443505794240468,0.8518518518518519,1.0,0.989855072463768,0.0272201006773605,0.8695652173913043,1.0,0.9726198699273326,0.0236599686184636,0.92,1.0,0.8222222222222221,0.1954135674010209,0.3333333333333333,1.0,0.2666666666666666,0.2381280765531689,0.0,0.6666666666666666,1.0666666666666669,1.1724814044061258,0.0,4.0,0.2333333333333333,0.6260623155792925,0.0,3.0,34.075,15.368534525070238,0.0,53.0,131.00349999999898,78.92330797450109,38.0,307.8499999999988
