seed,model,threshold,consecutive,min_alarm_s,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
12,Source5_ET_specificity,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,2.5,38.1
13,Source5_ET_accuracy,0.6713006366171828,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,4.399999999999707,38.2
13,Source5_ET_balanced,0.6713006366171828,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,4.399999999999707,38.2
13,Source5_ET_specificity,0.6713006366171828,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,4.399999999999707,38.2
14,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.3999999999999986,57.8349999999974
14,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.3999999999999986,57.8349999999974
14,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.3999999999999986,57.8349999999974
15,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.5500000000000043,38.2
15,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.5500000000000043,38.2
15,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.5500000000000043,38.2
16,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.749999999999851,38.2
16,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.749999999999851,38.2
16,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.749999999999851,38.2
17,Source5_ET_accuracy,0.6292444998746033,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.0,58.00499999999698
17,Source5_ET_balanced,0.6292444998746033,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.0,58.00499999999698
17,Source5_ET_specificity,0.6292444998746033,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2.0,58.00499999999698
18,Source5_ET_accuracy,0.7028054198542733,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,305.35499999999996
18,Source5_ET_balanced,0.7028054198542733,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,305.35499999999996
18,Source5_ET_specificity,0.7028054198542733,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,305.35499999999996
19,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,66.85499999999607
19,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,66.85499999999607
19,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,66.85499999999607
20,Source5_ET_accuracy,0.6434011697873631,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.049999999999997,38.185
20,Source5_ET_balanced,0.6434011697873631,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.049999999999997,38.185
20,Source5_ET_specificity,0.6434011697873631,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.049999999999997,38.185
21,Source5_ET_accuracy,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,37.95,38.285
21,Source5_ET_balanced,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,37.95,38.285
21,Source5_ET_specificity,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,37.95,38.285
22,Source5_ET_accuracy,0.65,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,38.0,38.2
22,Source5_ET_balanced,0.65,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,38.0,38.2
22,Source5_ET_specificity,0.65,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,38.0,38.2
23,Source5_ET_accuracy,0.6135683919129862,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.5499999999999972,57.98999999999698
23,Source5_ET_balanced,0.6135683919129862,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.5499999999999972,57.98999999999698
23,Source5_ET_specificity,0.6135683919129862,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1.5499999999999972,57.98999999999698
24,Source5_ET_accuracy,0.6347337111004324,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.4999999999999005,58.00499999999698
24,Source5_ET_balanced,0.6347337111004324,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.4999999999999005,58.00499999999698
24,Source5_ET_specificity,0.6347337111004324,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.4999999999999005,58.00499999999698
25,Source5_ET_accuracy,0.65,1,0.0,0.9310344827586207,0.9230769230769231,1.0,0.9600000000000001,0.6,0.5,2,0,0.0,38.17
25,Source5_ET_balanced,0.65,1,0.0,0.9310344827586207,0.9230769230769231,1.0,0.9600000000000001,0.6,0.5,2,0,0.0,38.17
25,Source5_ET_specificity,0.65,1,0.0,0.9310344827586207,0.9230769230769231,1.0,0.9600000000000001,0.6,0.5,2,0,0.0,38.17
26,Source5_ET_accuracy,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,20.45,38.2
26,Source5_ET_balanced,0.7406210444509206,2,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,43.0,295.2599999999998
26,Source5_ET_specificity,0.7406210444509206,2,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,43.0,295.2599999999998
27,Source5_ET_accuracy,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,20.45,38.2
27,Source5_ET_balanced,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,20.45,38.2
27,Source5_ET_specificity,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,20.45,38.2
28,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.9,38.185
28,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.9,38.185
28,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.9,38.185
29,Source5_ET_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,60.554999999997044
29,Source5_ET_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,60.554999999997044
29,Source5_ET_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,60.554999999997044
