metric,n_repeated_splits,mean,std_across_splits,sem,t95_ci_low,t95_ci_high,t95_half_width,bootstrap95_ci_low,bootstrap95_ci_high,bootstrap95_half_width,required_n_sem_le_0p010,required_n_sem_le_0p00866,required_n_sem_le_0p005,required_n_t95_half_le_0p010,required_n_t95_half_le_0p00866
accuracy,30,0.9643678160919541,0.03563282318222649,0.006505633681499488,0.9510623012456945,0.9776733309382137,0.013305514846259662,0.9517241379310343,0.9758620689655173,0.012068965517241514,13,17,51,49,66
specificity,30,0.8833333333333332,0.15871852721477112,0.028977905883175916,0.8240668612541301,0.9425998054125363,0.059266472079203054,0.8222222222222222,0.9333333333333333,0.05555555555555558,252,336,1008,968,1291
recall,30,0.9855072463768116,0.030919956618206932,0.0056451859056243624,0.9739615448272789,0.9970529479263444,0.011545701549532699,0.9739130434782608,0.9956521739130434,0.010869565217391297,10,13,39,37,49
f1,30,0.9778499236789935,0.02188411450322122,0.003995474388146742,0.9696782610259738,0.9860215863320132,0.008171662653019746,0.969837746776913,0.9851604376564072,0.007661345439747058,5,7,20,19,25
