accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
1.0,1.0,1.0,1.0,1.0,0.0,0.0,107.62941176470588,90.0,140.0,17,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.480945,0.0,1.0,55,val
0.9230769230769231,0.95,0.95,0.95,0.8333333333333334,0.16666666666666666,0.05,98.18947368421054,90.0,140.58999999999997,19,5,1,1,PrefixConfirmET_100_150,100s:0.65;150s:0.480945,0.0,0.95,55,test
0.9130434782608695,1.0,0.8823529411764706,0.9375,1.0,0.0,0.11764705882352941,99.97999999999999,40.0,390.0,15,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.88;100s:0.65;150s:0.601697;250s:0.65;400s:0.580442,0.0,0.8823529411764706,55,val
0.9230769230769231,1.0,0.9,0.9473684210526315,1.0,0.0,0.1,56.97777777777779,40.0,140.885,18,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.88;100s:0.65;150s:0.601697;250s:0.65;400s:0.580442,0.0,0.9,55,test
0.9230769230769231,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,90.32105263157894,90.0,90.67999999999998,19,5,0,2,PrefixConfirmET_100_150,100s:0.430514;150s:0.413991,0.0,0.9047619047619048,69,val
0.8518518518518519,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.6666666666666666,0.3333333333333333,0.09523809523809523,92.63684210526316,90.0,95.08999999999989,19,4,2,2,PrefixConfirmET_100_150,100s:0.430514;150s:0.413991,0.3333333333333333,0.9047619047619048,69,test
0.9615384615384616,1.0,0.9523809523809523,0.975609756097561,1.0,0.0,0.047619047619047616,46.555,40.0,90.0,20,5,0,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.575987;150s:0.507847;250s:0.622457;400s:0.58427,0.0,0.9523809523809523,69,val
0.8888888888888888,0.95,0.9047619047619048,0.926829268292683,0.8333333333333334,0.16666666666666666,0.09523809523809523,42.636842105263156,40.0,45.0899999999999,19,5,1,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.575987;150s:0.507847;250s:0.622457;400s:0.58427,0.3333333333333333,0.9047619047619048,69,test
0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.16666666666666666,0.05555555555555555,98.83529411764707,90.0,140.0,17,5,1,1,PrefixConfirmET_100_150,100s:0.65;150s:0.567512,0.0,0.9444444444444444,72,val
0.76,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.21052631578947367,103.32,90.0,140.0,15,4,2,4,PrefixConfirmET_100_150,100s:0.65;150s:0.567512,0.0,0.7894736842105263,72,test
0.8333333333333334,1.0,0.7777777777777778,0.875,1.0,0.0,0.2222222222222222,41.800000000000004,40.0,48.81499999999999,14,6,0,4,EarlyCascadeET_50_75_100_150_250_400,50s:0.886258;75s:0.747763;100s:0.88;150s:0.88;250s:0.88;400s:0.88,0.0,0.7777777777777778,72,val
0.64,1.0,0.5263157894736842,0.6896551724137931,1.0,0.0,0.47368421052631576,39.980000000000004,40.0,40.155,10,6,0,9,EarlyCascadeET_50_75_100_150_250_400,50s:0.886258;75s:0.747763;100s:0.88;150s:0.88;250s:0.88;400s:0.88,0.0,0.5263157894736842,72,test
