accuracy,precision,recall,f1,specificity,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,weight_hgb
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.05,240.0,0,0.0
0.9615384615384616,0.9545454545454546,1.0,0.9767441860465117,0.8,0.5,1,0,40.0,140.0,4,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.0,1,1,40.150000000000006,145.00000000000006,7,0.0
0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.3333333333333333,1,0,40.0,50.08999999999979,20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.3333333333333333,1,1,40.0,140.0,33,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,152.50000000000017,55,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.3333333333333333,1,1,40.0,65.0,69,0.25
0.84,1.0,0.7894736842105263,0.8823529411764706,1.0,0.0,0,4,40.0,40.13,72,0.0
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,2,0,40.0,40.1,73,0.25
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8,0.0,1,1,40.0,65.0,88,0.25
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,0.0
0.9629629629629629,0.9545454545454546,1.0,0.9767441860465117,0.8333333333333334,0.3333333333333333,1,0,40.0,40.1,97,0.0
0.9629629629629629,0.9565217391304348,1.0,0.9777777777777777,0.8,0.0,1,0,40.0,40.095,102,0.0
0.8846153846153846,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,0.0,1,2,40.0,40.1,110,0.0
0.7307692307692307,0.8095238095238095,0.85,0.8292682926829269,0.3333333333333333,0.3333333333333333,4,3,40.0,45.9,113,0.0
0.9642857142857143,1.0,0.9545454545454546,0.9767441860465117,1.0,0.0,0,1,40.0,90.0,114,0.0
0.88,0.9,0.9473684210526315,0.9230769230769231,0.6666666666666666,0.0,2,1,40.0,112.49999999999979,119,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,145.00000000000006,130,0.0
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0,1,40.0,40.679999999999986,131,0.0
0.92,0.9090909090909091,1.0,0.9523809523809523,0.6,0.0,2,0,40.0,240.0,145,0.0
0.96,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0,1,40.0,90.0,160,0.0
0.9642857142857143,1.0,0.9545454545454546,0.9767441860465117,1.0,0.0,0,1,40.0,65.0,170,0.0
0.9166666666666666,0.9,1.0,0.9473684210526316,0.6666666666666666,0.0,2,0,40.0,91.24999999999974,188,0.25
0.8518518518518519,0.8695652173913043,0.9523809523809523,0.909090909090909,0.5,0.3333333333333333,3,1,65.0,90.0,208,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,66.25000000000001,240,0.0
0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.0,1,0,40.0,50.08999999999979,244,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,92.50000000000003,261,0.25
0.9230769230769231,1.0,0.9,0.9473684210526316,1.0,0.0,0,2,40.0,240.0,269,0.25
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,2,0,40.0,81.25000000000023,275,0.25
0.9642857142857143,0.9565217391304348,1.0,0.9777777777777777,0.8333333333333334,0.0,1,0,52.55,137.49999999999997,289,0.25
