method,accuracy_mean,accuracy_std,specificity_mean,specificity_std,recall_mean,recall_std
"100Ah validation selector, same 10 seeds",0.947096459096459,0.03607866974312634,0.8633333333333335,0.13282309779794318,0.9711221234905446,0.02494024944807178
"Haar wavelet only, 10-seed screen",0.9282828652828652,0.0441748561591266,0.8133333333333332,0.1657009056205089,0.9624857598541808,0.0561308147690634
"Haar combined, 10-seed screen",0.9279865689865692,0.0406380865255256,0.76,0.166888740937943,0.9761221234905448,0.0252453120702833
