variant,accuracy_mean,accuracy_std,specificity_mean,specificity_std,recall_mean,recall_std,fp_mean,fn_mean,median_delay_s_mean,p95_delay_s_mean,margin_mean
q90_alpha0.05_add0.000,0.9344516347849684,0.0677447494170643,0.8733333333333333,0.1360076626193823,0.9516974253816356,0.0814538379178627,0.7333333333333333,0.9666666666666668,43.348333333333336,104.9196666666666,0.009096545153942
q95_alpha0.05_add0.050,0.9189021842355178,0.0850201413338103,0.9144444444444444,0.1270602877791626,0.9202054378370168,0.1081799645040724,0.5,1.6,44.175,109.70133333333324,0.0640025533135576
max_alpha0.05_add0.050,0.9149021842355176,0.0932332693240613,0.92,0.127035156686969,0.9131878939773675,0.1273759213690037,0.4666666666666667,1.7333333333333334,46.675,113.80316666666656,0.0689085614731732
max_alpha0.05_add0.080,0.8908061321394655,0.1089687526131134,0.9333333333333332,0.1124441112772009,0.8789276220855168,0.1492580491689591,0.4,2.433333333333333,49.16666666666666,124.53133333333324,0.0989085614731732
