accuracy,precision,recall,f1,specificity,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,model
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,10.600000000000001,38.09,0,Source5_ET_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,10.600000000000001,38.09,0,Source5_ET_balanced
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,10.600000000000001,38.09,0,Source5_ET_specificity
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,63.48999999999726,1,Source5_ET_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,63.48999999999726,1,Source5_ET_balanced
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,63.48999999999726,1,Source5_ET_specificity
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,10.100000000000001,43.1,2,Source5_ET_accuracy
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,10.100000000000001,43.1,2,Source5_ET_balanced
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,10.100000000000001,43.1,2,Source5_ET_specificity
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,38.0,61.49999999999639,3,Source5_ET_accuracy
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,38.0,61.49999999999639,3,Source5_ET_balanced
0.9310344827586207,1.0,0.9130434782608695,0.9545454545454545,1.0,0.0,0,2,38.0,61.49999999999639,3,Source5_ET_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,281.52999999999963,4,Source5_ET_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,281.52999999999963,4,Source5_ET_balanced
