accuracy,precision,recall,f1,specificity,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,model
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,37.9,54.65999999999683,0,Source5_RF_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,37.9,54.65999999999683,0,Source5_RF_balanced
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,37.9,54.65999999999683,0,Source5_RF_specificity
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.6666666666666666,2,0,53.0,53.1,1,Source5_RF_accuracy
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.6666666666666666,2,0,53.0,53.1,1,Source5_RF_balanced
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.6666666666666666,2,0,53.0,53.1,1,Source5_RF_specificity
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,150.65999999999192,2,Source5_RF_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,150.65999999999192,2,Source5_RF_balanced
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,150.65999999999192,2,Source5_RF_specificity
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,61.87999999999673,3,Source5_RF_accuracy
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,38.1,230.030000000003,3,Source5_RF_balanced
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,38.1,230.030000000003,3,Source5_RF_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,163.23999999999046,4,Source5_RF_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,163.23999999999046,4,Source5_RF_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,163.23999999999046,4,Source5_RF_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,143.400000000031,5,Source5_RF_accuracy
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,38.0,158.49500000003317,5,Source5_RF_balanced
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,38.0,158.49500000003317,5,Source5_RF_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,5.100000000000001,53.190000000000005,6,Source5_RF_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,5.100000000000001,53.190000000000005,6,Source5_RF_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,5.100000000000001,53.190000000000005,6,Source5_RF_specificity
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.3333333333333333,2,0,38.0,59.16999999999682,7,Source5_RF_accuracy
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.3333333333333333,2,0,38.0,59.16999999999682,7,Source5_RF_balanced
0.9310344827586207,0.92,1.0,0.9583333333333334,0.6666666666666666,0.3333333333333333,2,0,38.0,59.16999999999682,7,Source5_RF_specificity
0.896551724137931,0.8846153846153846,1.0,0.9387755102040816,0.5,0.3333333333333333,3,0,38.0,38.09,8,Source5_RF_accuracy
0.896551724137931,0.8846153846153846,1.0,0.9387755102040816,0.5,0.3333333333333333,3,0,38.0,38.09,8,Source5_RF_balanced
0.896551724137931,0.8846153846153846,1.0,0.9387755102040816,0.5,0.3333333333333333,3,0,38.0,38.09,8,Source5_RF_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,190.05999999999491,9,Source5_RF_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,190.05999999999491,9,Source5_RF_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,190.05999999999491,9,Source5_RF_specificity
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,126.97999999999278,10,Source5_RF_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,126.97999999999278,10,Source5_RF_balanced
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,126.97999999999278,10,Source5_RF_specificity
