label,type,n_seeds,accuracy_mean,accuracy_std,specificity_mean,recall_mean,precision_mean,f1_mean,hard_negative_fpr_mean,fp_mean,fn_mean,median_delay_s_mean,p95_delay_s_mean,source_file
100Ah main: 3-source validation ensemble,valid_main,30,0.942451634784968,0.0404434029559485,0.8622222222222221,0.965732513100934,0.9621808143547274,0.9630153121609072,0.0833333333333333,0.8,0.7,42.52,107.8346666666666,rescompact_multisource_3src_ensemble_accuracy_only_summary.csv
100Ah conservative validation selector,valid_refinement,30,0.9437849681183016,0.0389451127122513,0.8677777777777778,0.965732513100934,0.9637597617231484,0.9638250287600976,0.0833333333333333,0.7666666666666667,0.7,42.52,110.66799999999992,validation_model_selector_summary_conservative_margin005.csv
100Ah specificity-guard objective,valid_refinement,30,0.9371183014516348,0.0533581219732698,0.8733333333333333,0.9552061973114604,0.9646644744854465,0.9585574606442322,0.0833333333333333,0.7333333333333333,0.9,42.516666666666666,111.31549999999991,rescompact_multisource_3src_ensemble_specificity_guard_summary.csv
100Ah normality verifier,negative_result,30,0.942451634784968,0.0404434029559485,0.8622222222222221,0.965732513100934,0.9621808143547274,0.9630153121609072,0.0833333333333333,0.8,0.7,42.52,107.8346666666666,rescompact_normality_verifier_summary.csv
100Ah unconstrained validation selector,negative_result,30,0.9387479310812644,0.044725399667541,0.8622222222222221,0.960636439583808,0.9622996361709512,0.9604303183886428,0.0944444444444444,0.8,0.8,42.52,108.25133333333328,validation_model_selector_summary.csv
100Ah absolute-voltage fast ET,negative_result,30,0.9192022792022794,0.0398627347244443,0.7177777777777777,0.9769290650869598,0.9254301927414056,0.9495526243122911,0.1222222222222222,1.6333333333333333,0.4666666666666667,40.42333333333333,84.59233333333329,fast_prefix_summary_absv_et45.csv
100Ah change-point fast ET,negative_result,30,0.925941459774793,0.0313640833214205,0.7377777777777778,0.978676236044657,0.9316107660455486,0.9537471143831128,0.1222222222222222,1.5,0.4333333333333333,41.255,91.44199999999996,fast_prefix_summary_cp_et45.csv
