accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
0.9230769230769231,1.0,0.9,0.9473684210526315,1.0,0.0,0.1,98.64444444444445,90.0,140.885,18,6,0,2,PrefixConfirmET_100_150,100s:0.647134;150s:0.491243,0.0,0.9,55,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,72.33529411764707,40.0,149.99999999999977,17,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.635566;100s:0.57432;150s:0.603309;250s:0.635175;400s:0.643047,0.0,1.0,55,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,69.03,40.0,152.50000000000017,20,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.635566;100s:0.57432;150s:0.603309;250s:0.635175;400s:0.643047,0.0,1.0,55,test
0.9230769230769231,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,90.32105263157894,90.0,90.67999999999998,19,5,0,2,PrefixConfirmET_100_150,100s:0.513497;150s:0.448273,0.0,0.9047619047619048,69,val
0.9259259259259259,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,92.63684210526316,90.0,95.08999999999989,19,6,0,2,PrefixConfirmET_100_150,100s:0.513497;150s:0.448273,0.0,0.9047619047619048,69,test
0.9615384615384616,1.0,0.9523809523809523,0.975609756097561,1.0,0.0,0.047619047619047616,47.805,40.0,92.50000000000003,20,5,0,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.584986;150s:0.588078;250s:0.575321;400s:0.557361,0.0,0.9523809523809523,69,val
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.16666666666666666,0.047619047619047616,50.005,40.0,140.0,20,5,1,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.584986;150s:0.588078;250s:0.575321;400s:0.557361,0.3333333333333333,0.9523809523809523,69,test
0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.16666666666666666,0.05555555555555555,98.83529411764707,90.0,140.0,17,5,1,1,PrefixConfirmET_100_150,100s:0.65;150s:0.555468,0.0,0.9444444444444444,72,val
0.76,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.21052631578947367,99.98666666666666,90.0,140.0,15,4,2,4,PrefixConfirmET_100_150,100s:0.65;150s:0.555468,0.0,0.7894736842105263,72,test
0.9166666666666666,0.9,1.0,0.9473684210526315,0.6666666666666666,0.3333333333333333,0.0,40.01111111111111,40.0,40.1,18,4,2,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.3333333333333333,1.0,72,val
0.84,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.6666666666666666,0.3333333333333333,0.10526315789473684,39.98823529411764,40.0,40.120000000000005,17,4,2,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,0.8947368421052632,72,test
0.9565217391304348,1.0,0.9444444444444444,0.9714285714285714,1.0,0.0,0.05555555555555555,107.98235294117647,90.0,141.18,17,5,0,1,PrefixConfirmET_100_150,100s:0.78;150s:0.495474,0.0,0.9444444444444444,73,val
0.9615384615384616,0.9523809523809523,1.0,0.975609756097561,0.8333333333333334,0.16666666666666666,0.0,110.0,90.1,140.0,20,5,1,0,PrefixConfirmET_100_150,100s:0.78;150s:0.495474,0.0,1.0,73,test
0.9565217391304348,1.0,0.9444444444444444,0.9714285714285714,1.0,0.0,0.05555555555555555,40.33529411764706,40.0,41.339999999999996,17,5,0,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.66401;100s:0.730833;150s:0.65;250s:0.65;400s:0.65,0.0,0.9444444444444444,73,val
0.9615384615384616,0.9523809523809523,1.0,0.975609756097561,0.8333333333333334,0.16666666666666666,0.0,41.25,40.0,41.34500000000002,20,5,1,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.66401;100s:0.730833;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,73,test
