method,accuracy_mean,accuracy_std,specificity_mean,specificity_std,recall_mean,recall_std
5Ah ET,0.954022988505747,0.0365978365865677,0.8666666666666667,0.1660909597074799,0.9768115942028984,0.0391109952268524
5Ah RF,0.9563218390804598,0.0404303932553836,0.8166666666666664,0.1925330244847397,0.9927536231884058,0.0257431956485547
5Ah validation selector,0.964367816091954,0.0356328231822264,0.8833333333333332,0.1587185272147711,0.9855072463768116,0.0309199566182069
