model,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,specificity_mean,specificity_std,specificity_min,specificity_max,hard_negative_fpr_mean,hard_negative_fpr_std,hard_negative_fpr_min,hard_negative_fpr_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,median_delay_s_mean,median_delay_s_std,median_delay_s_min,median_delay_s_max,p95_delay_s_mean,p95_delay_s_std,p95_delay_s_min,p95_delay_s_max
Source5_ET_accuracy,30,0.954022988505747,0.03659783658656777,0.8620689655172413,1.0,0.9677566373508403,0.03843149597931684,0.8518518518518519,1.0,0.9768115942028984,0.03911099522685249,0.8260869565217391,1.0,0.9711956554793214,0.02306688273539108,0.9047619047619047,1.0,0.8666666666666667,0.16609095970747995,0.3333333333333333,1.0,0.15555555555555553,0.19044882124112195,0.0,0.6666666666666666,0.8,0.9965457582448797,0.0,4.0,0.5333333333333333,0.8995528902176071,0.0,4.0,20.66666666666665,18.07464566988671,1.5499999999999972,53.0,71.71833333333274,80.46958995466053,38.0,308.04999999999995
Source5_ET_balanced,30,0.9494252873563217,0.04022705386108103,0.8620689655172413,1.0,0.9691455262397292,0.03883003726186977,0.8518518518518519,1.0,0.9695652173913043,0.04864368612931901,0.8260869565217391,1.0,0.9679558613884633,0.02606764701900853,0.9047619047619047,1.0,0.8722222222222222,0.1677169969324086,0.3333333333333333,1.0,0.14444444444444443,0.18944025905197848,0.0,0.6666666666666666,0.7666666666666667,1.0063019815944514,0.0,4.0,0.7,1.118804780974337,0.0,4.0,20.881666666666653,17.86993469747314,1.9500000000000028,53.0,80.72266666666604,90.990924762832,38.0,308.12
Source5_ET_specificity,30,0.9494252873563217,0.04022705386108103,0.8620689655172413,1.0,0.9691455262397292,0.03883003726186977,0.8518518518518519,1.0,0.9695652173913043,0.04864368612931901,0.8260869565217391,1.0,0.9679558613884633,0.02606764701900853,0.9047619047619047,1.0,0.8722222222222222,0.1677169969324086,0.3333333333333333,1.0,0.14444444444444443,0.18944025905197848,0.0,0.6666666666666666,0.7666666666666667,1.0063019815944514,0.0,4.0,0.7,1.118804780974337,0.0,4.0,20.881666666666653,17.86993469747314,1.9500000000000028,53.0,80.72266666666604,90.990924762832,38.0,308.12
