tn,fp,fn,tp,accuracy,specificity,recall,score,threshold,vetoed
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.005,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0099349055568041,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.01,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.015,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.02,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.025,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.026121065462943415,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.03,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.035,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.04,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.045,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.05,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.055,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.05858659307427262,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.06,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.065,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.06965390590714646,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.07,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.075,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.08,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.085,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0889197755561607,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.09,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.095,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.09813998775784662,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.1,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.105,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.11,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.11187810471293395,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.115,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.12,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.125,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.13,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.13392296075685162,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.135,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.14,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.145,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.15,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.155,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.16,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.165,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.17,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.17500000000000002,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.18,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.185,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.18771175391953598,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.19,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.195,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.2,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.20500000000000002,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.21,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.215,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.22,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.225,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.23,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.23500000000000001,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.24,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.245,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.25,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.255,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.26,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.265,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.27,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.275,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.28,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.28500000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.29,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.2927668056740054,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.295,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.305,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.31,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.315,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.32,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.325,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3264841690543179,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.33,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.335,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.34,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.34500000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.35000000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3527284992596797,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.355,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.36,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.365,0
