model,n_seeds,accuracy_mean,accuracy_std,accuracy_sem,specificity_mean,specificity_std,specificity_sem,recall_mean,recall_std,recall_sem,precision_mean,precision_std,precision_sem,f1_mean,f1_std,f1_sem,fp_mean,fp_std,fp_sem,fn_mean,fn_std,fn_sem
pfx600_rf_sw0.65,30,0.9004460046126713,0.07504085209567604,0.013700522475736861,0.8522222222222222,0.18397137319651385,0.03358842367831064,0.9121033644717854,0.10194445547955742,0.018612425959578245,0.9618208911607079,0.04387257339849797,0.008009999368719475,0.9319113126600863,0.05812576949139106,0.010612265040926824,0.8333333333333334,1.0199166069132668,0.1862104441268419,1.7666666666666666,2.01174711054387,0.36729309081357214
pfx600_rf_sw0.35,30,0.8993099308099307,0.08482972211239177,0.01548771744928392,0.8400000000000001,0.19718322964603216,0.036000567612951076,0.9150311384521912,0.1199272374779616,0.02189561774198618,0.9586353598092728,0.04830382514350826,0.008819031548294897,0.9302692606400178,0.06650806693710445,0.01214265617250521,0.9,1.0938700673013826,0.19971243694688715,1.7,2.3657032197927803,0.4319163392810359
pfx600_et_sw0.35,30,0.9050789580789581,0.06422902052613903,0.011726561129542894,0.8211111111111111,0.1714225657282858,0.031297335371598047,0.9276703121439963,0.08804588638174289,0.016074906022272496,0.9524990668435277,0.042431229609465604,0.007746847199928477,0.9365920217351175,0.04786697702171466,0.008739274358124858,1.0,0.9468641529479986,0.1728729518208802,1.4666666666666666,1.75643316732074,0.3206793554972717
pfx600_et_sw0.0,30,0.913098087098087,0.06368817747795606,0.011627817150356339,0.8088888888888889,0.1907704350157998,0.034829756854408984,0.9397603858130172,0.08341072258005118,0.015228644764966513,0.9515951032610072,0.044027609058083214,0.008038304878043651,0.9424926410484337,0.049125450941441696,0.008969039209413672,1.0666666666666667,1.048260737942924,0.1913853507727837,1.2,1.6060231457944765,0.293218368275681
pfx600_et_sw0.65,30,0.890121693121693,0.08106915876144144,0.014801135657203016,0.7977777777777779,0.176151565993005,0.03216072874474291,0.9145906432748536,0.10497936236101654,0.01916652161254585,0.9454570921704788,0.04395561242636511,0.008025160151624851,0.9256155510037621,0.06193962037128058,0.011308575760218962,1.1333333333333333,0.9732042112432565,0.1776819665189848,1.7333333333333334,2.0998084203800236,0.38337081276047646
pfx600_rf_sw0.0,30,0.8659898249898249,0.08133698677577758,0.014850034138864257,0.7644444444444446,0.16882132143068923,0.03082241531180627,0.8933082706766917,0.12113115796119465,0.0221154225440226,0.9357756120055891,0.04312462882807167,0.007873443997724144,0.9080627426847918,0.06528853196567425,0.011920000567998962,1.3333333333333333,0.9589266029707683,0.1750752438129634,2.1333333333333333,2.3596220231117573,0.43080606974809527
