model,n_seeds,accuracy_mean,accuracy_std,accuracy_sem,accuracy_ci95_halfwidth,accuracy_min,accuracy_max,precision_mean,precision_std,precision_sem,precision_ci95_halfwidth,precision_min,precision_max,recall_mean,recall_std,recall_sem,recall_ci95_halfwidth,recall_min,recall_max,f1_mean,f1_std,f1_sem,f1_ci95_halfwidth,f1_min,f1_max,specificity_mean,specificity_std,specificity_sem,specificity_ci95_halfwidth,specificity_min,specificity_max,hard_negative_fpr_mean,hard_negative_fpr_std,hard_negative_fpr_sem,hard_negative_fpr_ci95_halfwidth,hard_negative_fpr_min,hard_negative_fpr_max,fp_mean,fp_std,fp_sem,fp_ci95_halfwidth,fp_min,fp_max,fn_mean,fn_std,fn_sem,fn_ci95_halfwidth,fn_min,fn_max,median_delay_s_mean,median_delay_s_std,median_delay_s_sem,median_delay_s_ci95_halfwidth,median_delay_s_min,median_delay_s_max,p95_delay_s_mean,p95_delay_s_std,p95_delay_s_sem,p95_delay_s_ci95_halfwidth,p95_delay_s_min,p95_delay_s_max
HighSpecificityFamily_spec0.90_recall0.90,30,0.9199957943291275,0.05137204433273751,0.009379209168731922,0.018383249970714565,0.8076923076923077,1.0,0.9641541188280319,0.04296481009466322,0.007844265222590905,0.015374759836278173,0.875,1.0,0.9351351864509759,0.07356069447494001,0.01343028390322343,0.026323356450317918,0.75,1.0,0.9467408979588298,0.03660305905937402,0.006682773706837659,0.013098236465401812,0.8571428571428571,1.0,0.87,0.15667767141589295,0.028605298297288983,0.0560663846626864,0.5,1.0,0.06666666666666667,0.13561270072416207,0.024759378423606912,0.04852838171026955,0.0,0.3333333333333333,0.7666666666666667,0.9352607356658147,0.17075446735768104,0.33467875602105485,0.0,3.0,1.3333333333333333,1.5161960871578068,0.27681826617913324,0.5425638017111012,0.0,5.0,43.55499999999999,7.975299691698977,1.456083848002509,2.853924342084917,40.0,65.0,181.24766666666662,87.18433375893,15.917608753608377,31.198513157072416,41.839999999999996,390.0
HighSpecificityFamily_spec0.92_recall0.88,30,0.9199957943291275,0.05137204433273751,0.009379209168731922,0.018383249970714565,0.8076923076923077,1.0,0.9641541188280319,0.04296481009466322,0.007844265222590905,0.015374759836278173,0.875,1.0,0.9351351864509759,0.07356069447494001,0.01343028390322343,0.026323356450317918,0.75,1.0,0.9467408979588298,0.03660305905937402,0.006682773706837659,0.013098236465401812,0.8571428571428571,1.0,0.87,0.15667767141589295,0.028605298297288983,0.0560663846626864,0.5,1.0,0.06666666666666667,0.13561270072416207,0.024759378423606912,0.04852838171026955,0.0,0.3333333333333333,0.7666666666666667,0.9352607356658147,0.17075446735768104,0.33467875602105485,0.0,3.0,1.3333333333333333,1.5161960871578068,0.27681826617913324,0.5425638017111012,0.0,5.0,43.55499999999999,7.975299691698977,1.456083848002509,2.853924342084917,40.0,65.0,181.24766666666662,87.18433375893,15.917608753608377,31.198513157072416,41.839999999999996,390.0
HighSpecificityFamily_spec0.94_recall0.84,30,0.9199957943291275,0.05137204433273751,0.009379209168731922,0.018383249970714565,0.8076923076923077,1.0,0.9641541188280319,0.04296481009466322,0.007844265222590905,0.015374759836278173,0.875,1.0,0.9351351864509759,0.07356069447494001,0.01343028390322343,0.026323356450317918,0.75,1.0,0.9467408979588298,0.03660305905937402,0.006682773706837659,0.013098236465401812,0.8571428571428571,1.0,0.87,0.15667767141589295,0.028605298297288983,0.0560663846626864,0.5,1.0,0.06666666666666667,0.13561270072416207,0.024759378423606912,0.04852838171026955,0.0,0.3333333333333333,0.7666666666666667,0.9352607356658147,0.17075446735768104,0.33467875602105485,0.0,3.0,1.3333333333333333,1.5161960871578068,0.27681826617913324,0.5425638017111012,0.0,5.0,43.55499999999999,7.975299691698977,1.456083848002509,2.853924342084917,40.0,65.0,181.24766666666662,87.18433375893,15.917608753608377,31.198513157072416,41.839999999999996,390.0
HighSpecificityFamily_spec0.95_recall0.80,30,0.9199957943291275,0.05137204433273751,0.009379209168731922,0.018383249970714565,0.8076923076923077,1.0,0.9641541188280319,0.04296481009466322,0.007844265222590905,0.015374759836278173,0.875,1.0,0.9351351864509759,0.07356069447494001,0.01343028390322343,0.026323356450317918,0.75,1.0,0.9467408979588298,0.03660305905937402,0.006682773706837659,0.013098236465401812,0.8571428571428571,1.0,0.87,0.15667767141589295,0.028605298297288983,0.0560663846626864,0.5,1.0,0.06666666666666667,0.13561270072416207,0.024759378423606912,0.04852838171026955,0.0,0.3333333333333333,0.7666666666666667,0.9352607356658147,0.17075446735768104,0.33467875602105485,0.0,3.0,1.3333333333333333,1.5161960871578068,0.27681826617913324,0.5425638017111012,0.0,5.0,43.55499999999999,7.975299691698977,1.456083848002509,2.853924342084917,40.0,65.0,181.24766666666662,87.18433375893,15.917608753608377,31.198513157072416,41.839999999999996,390.0
