accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,val_specificity,val_recall,model
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,52.55,240.0,0,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.3,240.0,7,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.0,1,0,40.0,94.99999999999989,20,1.0,0.8823529411764706,HighSpecificityFamily_spec0.90_recall0.90
0.8571428571428571,0.95,0.8636363636363636,0.8333333333333334,0.9047619047619048,0.3333333333333333,1,3,45.9,254.9999999999997,33,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9259259259259259,0.9130434782608695,1.0,0.6666666666666666,0.9545454545454545,0.3333333333333333,2,0,40.0,90.0,69,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.150000000000006,262.4999999999998,72,0.8333333333333334,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,92.50000000000003,73,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.0,1,1,40.0,140.0,88,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9166666666666666,1.0,0.8947368421052632,1.0,0.9444444444444444,0.0,0,2,40.0,140.0,91,1.0,0.8947368421052632,HighSpecificityFamily_spec0.90_recall0.90
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,240.0,97,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.8888888888888888,1.0,0.8636363636363636,1.0,0.9268292682926829,0.0,0,3,40.0,140.0,102,1.0,0.95,HighSpecificityFamily_spec0.90_recall0.90
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,40.1,262.4999999999998,110,1.0,0.9411764705882353,HighSpecificityFamily_spec0.90_recall0.90
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,177.49999999999966,113,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0,2,40.0,390.0,114,1.0,0.8823529411764706,HighSpecificityFamily_spec0.90_recall0.90
0.84,1.0,0.7894736842105263,1.0,0.8823529411764706,0.0,0,4,40.0,169.9999999999999,119,1.0,0.8947368421052632,HighSpecificityFamily_spec0.90_recall0.90
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.05,240.0,130,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,254.9999999999997,131,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.96,0.9523809523809523,1.0,0.8,0.975609756097561,0.0,1,0,40.0,97.50000000000011,145,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0.0,0,1,40.0,90.0,160,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.8214285714285714,1.0,0.7727272727272727,1.0,0.8717948717948718,0.0,0,5,40.0,119.99999999999989,170,1.0,0.9444444444444444,HighSpecificityFamily_spec0.90_recall0.90
0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.0,2,0,40.0,112.49999999999979,188,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.3333333333333333,3,0,65.0,90.0,208,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,240.0,240,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.0,1,0,40.0,149.99999999999977,244,1.0,0.8421052631578947,HighSpecificityFamily_spec0.90_recall0.90
0.96,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,65.0,254.9999999999997,261,1.0,1.0,HighSpecificityFamily_spec0.90_recall0.90
0.8076923076923077,1.0,0.75,1.0,0.8571428571428571,0.0,0,5,40.0,41.839999999999996,269,1.0,0.9411764705882353,HighSpecificityFamily_spec0.90_recall0.90
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,52.5,390.0,275,1.0,0.8823529411764706,HighSpecificityFamily_spec0.90_recall0.90
