experiment,accuracy_mean,accuracy_std,specificity_mean,specificity_std,recall_mean,recall_std,fp_mean,fn_mean,n_seeds,accuracy_sem,accuracy_ci95_halfwidth,accuracy_n_for_sem_0p01,accuracy_n_for_sem_0p00866,specificity_sem,specificity_ci95_halfwidth,specificity_n_for_sem_0p01,specificity_n_for_sem_0p00866,recall_sem,recall_ci95_halfwidth,recall_n_for_sem_0p01,recall_n_for_sem_0p00866
3-source ensemble,0.942451634784968,0.0404434029559485,0.8622222222222221,0.1456214936488291,0.965732513100934,0.0391054985823893,0.8,0.7,30,0.007383921367081369,0.014472485879479483,17,22,0.026586725643019657,0.05210998226031853,213,283,0.0071396545653536385,0.013993722948093132,16,21
validation-selected conservative,0.9437849681183016,0.0389451127122513,0.8677777777777778,0.1410098589888529,0.965732513100934,0.0391054985823893,0.7666666666666667,0.7,30,0.007110372245693745,0.01393632960155974,16,21,0.025744760199605782,0.05045972999122733,199,266,0.0071396545653536385,0.013993722948093132,16,21
high-specificity family,0.9199957943291276,0.0513720443327375,0.87,0.1566776714158929,0.935135186450976,0.07356069447494,0.7666666666666667,1.3333333333333333,30,0.00937920916873192,0.018383249970714565,27,36,0.028605298297288972,0.05606638466268638,246,328,0.013430283903223426,0.026323356450317914,55,73
600s long-prefix best-listed,0.9004460046126713,0.075040852095676,0.8522222222222222,0.1839713731965138,0.9121033644717854,0.1019444554795574,0.8333333333333334,1.7666666666666666,30,0.013700522475736854,0.026853024052444233,57,76,0.033588423678310636,0.06583331040948885,339,452,0.01861242595957824,0.03648035488077335,104,139
