accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,40.39000000000001,0
0.9230769230769231,0.9130434782608695,1.0,0.6,0.9545454545454545,0.5,2,0,40.0,40.3,4
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.0,1,1,40.0,90.0,7
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.3333333333333333,2,0,40.0,45.0899999999999,20
0.8571428571428571,0.875,0.9545454545454546,0.5,0.9130434782608695,0.6666666666666666,3,1,40.0,65.0,33
0.8846153846153846,0.8695652173913043,1.0,0.5,0.9302325581395349,0.3333333333333333,3,0,40.0,66.25000000000001,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,66.25000000000001,69
0.84,0.8571428571428571,0.9473684210526315,0.5,0.9,0.0,3,1,40.0,40.115,72
0.8461538461538461,0.8333333333333334,1.0,0.3333333333333333,0.9090909090909091,0.3333333333333333,4,0,40.0,40.1,73
0.8518518518518519,0.875,0.9545454545454546,0.4,0.9130434782608695,0.5,3,1,65.0,240.0,88
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,104.99999999999969,91
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.6666666666666666,3,0,40.0,40.1,97
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.0,1,1,40.0,40.1,102
0.8846153846153846,0.9473684210526315,0.9,0.8333333333333334,0.9230769230769231,0.0,1,2,40.0,91.24999999999974,110
0.7692307692307693,0.8181818181818182,0.9,0.3333333333333333,0.8571428571428572,0.3333333333333333,4,2,40.0,134.99999999999957,113
0.8928571428571429,0.88,1.0,0.5,0.9361702127659575,0.0,3,0,40.0,40.0,114
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.05,97.49999999999993,119
0.88,0.8695652173913043,1.0,0.4,0.9302325581395349,0.5,3,0,40.0,68.75000000000006,130
0.9230769230769231,0.95,0.95,0.8333333333333334,0.9500000000000001,0.0,1,1,40.0,40.679999999999986,131
0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.0,2,0,40.0,65.0,145
0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0.0,0,1,40.0,55.08499999999986,160
0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0,2,40.0,240.0,170
0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.0,2,0,40.0,97.49999999999993,188
0.8518518518518519,0.84,1.0,0.3333333333333333,0.9130434782608696,0.3333333333333333,4,0,40.0,40.1,208
0.9230769230769231,0.95,0.95,0.8333333333333334,0.9500000000000001,0.0,1,1,40.0,65.0,240
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.0,2,0,40.0,149.99999999999977,244
0.84,0.8636363636363636,0.95,0.4,0.9047619047619048,0.0,3,1,40.0,40.679999999999986,261
0.9230769230769231,0.95,0.95,0.8333333333333334,0.9500000000000001,0.0,1,1,40.0,80.30999999999926,269
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,152.50000000000017,275
0.9285714285714286,0.9166666666666666,1.0,0.6666666666666666,0.9565217391304348,0.0,2,0,40.0,135.29499999999993,289
