accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,50.60500000000007,0
0.9615384615384616,0.9545454545454546,1.0,0.8,0.9767441860465117,0.0,1,0,40.0,240.0,4
0.9629629629629629,0.9545454545454546,1.0,0.8333333333333334,0.9767441860465117,0.0,1,0,40.0,90.0,7
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.3333333333333333,2,0,40.0,40.1,20
0.8928571428571429,0.9130434782608695,0.9545454545454546,0.6666666666666666,0.9333333333333332,0.3333333333333333,2,1,40.0,90.0,33
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,73.75000000000013,55
0.9259259259259259,0.9130434782608695,1.0,0.6666666666666666,0.9545454545454545,0.3333333333333333,2,0,40.0,40.1,69
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,52.6,68.74999999999997,72
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,40.1,73
0.8888888888888888,0.88,1.0,0.4,0.9361702127659575,0.5,3,0,40.0,134.99999999999994,88
0.9583333333333334,0.95,1.0,0.8,0.9743589743589743,0.0,1,0,40.0,140.0,91
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.6666666666666666,3,0,40.0,40.1,97
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.0,102
0.8846153846153846,0.9047619047619048,0.95,0.6666666666666666,0.9268292682926829,0.0,2,1,40.0,82.49999999999963,110
0.8846153846153846,0.9047619047619048,0.95,0.6666666666666666,0.9268292682926829,0.0,2,1,40.0,94.99999999999989,113
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.0,1,1,65.0,240.0,114
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,97.49999999999993,119
0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.5,2,0,40.05,92.50000000000003,130
0.9230769230769231,0.95,0.95,0.8333333333333334,0.9500000000000001,0.0,1,1,40.0,254.9999999999997,131
0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.0,2,0,40.0,45.190000000000076,145
0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0.0,0,1,40.0,90.0,160
0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0,2,40.0,145.00000000000006,170
0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.0,2,0,40.0,76.24999999999989,188
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.3333333333333333,3,0,40.0,40.1,208
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,40.39000000000001,240
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.0,1,0,40.0,72.49999999999984,244
0.92,0.95,0.95,0.8,0.9500000000000001,0.0,1,1,40.0,72.80999999999996,261
0.9230769230769231,1.0,0.9,1.0,0.9473684210526316,0.0,0,2,40.0,40.96999999999999,269
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,105.00000000000021,275
0.9285714285714286,0.9166666666666666,1.0,0.6666666666666666,0.9565217391304348,0.0,2,0,40.0,64.04499999999999,289
