model,variant,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,specificity_mean,specificity_std,specificity_min,specificity_max,hard_negative_fpr_mean,hard_negative_fpr_std,hard_negative_fpr_min,hard_negative_fpr_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,median_delay_s_mean,median_delay_s_std,median_delay_s_min,median_delay_s_max,p95_delay_s_mean,p95_delay_s_std,p95_delay_s_min,p95_delay_s_max,margin_mean,margin_std,margin_min,margin_max
NPConformal_SpecificityControlled_MarginFamily,conformal_alpha0.05_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,conformal_alpha0.10_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,conformal_alpha0.20_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,max_alpha0.05_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,max_alpha0.10_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,max_alpha0.20_add0.080,30,0.8908061321394655,0.10896875261311348,0.56,1.0,0.980467511554468,0.0335411495232248,0.8888888888888888,1.0,0.8789276220855168,0.14925804916895913,0.42105263157894735,1.0,0.9181428270790503,0.09925686529573495,0.5925925925925926,1.0,0.9333333333333333,0.1124441112772009,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.4,0.6746646676632054,0.0,2.0,2.433333333333333,2.872981550324636,0.0,11.0,49.166666666666664,20.217921946038174,40.0,140.0,124.53133333333325,64.04619594794295,41.839999999999996,302.6349999999999,0.09890856147317321,0.07271807795182161,0.08,0.40353765809382824
NPConformal_SpecificityControlled_MarginFamily,q90_alpha0.05_add0.080,30,0.9001394654727989,0.08624078461598603,0.6,1.0,0.977437208524165,0.0357495463243664,0.8888888888888888,1.0,0.892962709804815,0.11224601461584853,0.5263157894736842,1.0,0.9291417047445947,0.06903351448288354,0.6666666666666666,1.0,0.9277777777777777,0.11315175898739381,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.43333333333333335,0.6789105539243627,0.0,2.0,2.1666666666666665,2.19848432637882,0.0,9.0,46.66833333333333,11.24722558381992,40.0,65.05,120.23399999999991,53.6446621601429,41.839999999999996,247.5000000000001,0.0890965451539421,0.03494635205814985,0.08,0.2346468307367266
NPConformal_SpecificityControlled_MarginFamily,q90_alpha0.10_add0.080,30,0.9001394654727989,0.08624078461598603,0.6,1.0,0.977437208524165,0.0357495463243664,0.8888888888888888,1.0,0.892962709804815,0.11224601461584853,0.5263157894736842,1.0,0.9291417047445947,0.06903351448288354,0.6666666666666666,1.0,0.9277777777777777,0.11315175898739381,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.43333333333333335,0.6789105539243627,0.0,2.0,2.1666666666666665,2.19848432637882,0.0,9.0,46.66833333333333,11.24722558381992,40.0,65.05,120.23399999999991,53.6446621601429,41.839999999999996,247.5000000000001,0.0890965451539421,0.03494635205814985,0.08,0.2346468307367266
NPConformal_SpecificityControlled_MarginFamily,q90_alpha0.20_add0.080,30,0.9001394654727989,0.08624078461598603,0.6,1.0,0.977437208524165,0.0357495463243664,0.8888888888888888,1.0,0.892962709804815,0.11224601461584853,0.5263157894736842,1.0,0.9291417047445947,0.06903351448288354,0.6666666666666666,1.0,0.9277777777777777,0.11315175898739381,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.43333333333333335,0.6789105539243627,0.0,2.0,2.1666666666666665,2.19848432637882,0.0,9.0,46.66833333333333,11.24722558381992,40.0,65.05,120.23399999999991,53.6446621601429,41.839999999999996,247.5000000000001,0.0890965451539421,0.03494635205814985,0.08,0.2346468307367266
NPConformal_SpecificityControlled_MarginFamily,q95_alpha0.05_add0.080,30,0.896139465472799,0.09812732522484939,0.52,1.0,0.9767638078507643,0.03724053039528638,0.8888888888888888,1.0,0.8876995519100782,0.1275792964879131,0.42105263157894735,1.0,0.9247676066204965,0.08382956322795392,0.5714285714285714,1.0,0.9277777777777777,0.11315175898739381,0.6666666666666666,1.0,0.04444444444444444,0.11524863454725345,0.0,0.3333333333333333,0.43333333333333335,0.6789105539243627,0.0,2.0,2.2666666666666666,2.4765567494675618,0.0,11.0,46.666666666666664,11.24441112772009,40.0,65.0,118.86349999999992,53.877264895987615,41.839999999999996,247.5000000000001,0.09400255331355765,0.05383188809882109,0.08,0.3190922444152774
