accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin,base_margin,adder
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q90_alpha0.20_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.20_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q95_alpha0.20_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,conformal_alpha0.20_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,max_alpha0.20_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q90_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.10_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q95_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,conformal_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,max_alpha0.10_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05_add0.050,0.05,0.0,0.05
