accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,145.00000000000006,0
0.8846153846153846,0.875,1.0,0.4,0.9333333333333333,0.5,3,0,40.0,90.0,4
0.9259259259259259,0.9130434782608695,1.0,0.6666666666666666,0.9545454545454545,0.0,2,0,40.0,65.0,7
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.3333333333333333,2,0,40.0,42.58999999999995,20
0.8928571428571429,0.88,1.0,0.5,0.9361702127659575,0.3333333333333333,3,0,40.0,87.79499999999997,33
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,40.39000000000001,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,41.34500000000002,69
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,40.115,72
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,40.1,73
0.8888888888888888,0.9130434782608695,0.9545454545454546,0.6,0.9333333333333332,0.0,2,1,40.0,140.0,88
