accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,68.75000000000006,0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4
0.9259259259259259,1.0,0.9047619047619048,1.0,0.9500000000000001,0.0,0,2,40.0,50.3099999999999,7
0.88,0.8636363636363636,1.0,0.5,0.9268292682926829,0.0,3,0,40.0,40.1,20
0.8928571428571429,0.9130434782608695,0.9545454545454546,0.6666666666666666,0.9333333333333332,0.3333333333333333,2,1,40.0,140.0,33
0.8846153846153846,0.8695652173913043,1.0,0.5,0.9302325581395349,0.0,3,0,40.0,48.10500000000003,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,66.25000000000001,69
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,76.24999999999989,72
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.0,2,0,40.0,140.0,73
0.8888888888888888,1.0,0.8636363636363636,1.0,0.9268292682926829,0.0,0,3,40.0,59.999999999999574,88
