sample_id,file_name,binary,hard_negative,duplicate_group,test_appearances,errors,false_positives,false_negatives,fp_rate_when_tested,group_size
target100__大电池短路数据__0.1Ω_4,0.1Ω 4.xlsx,1,0,target_b1::0.1ω4,5,0,0,0,,2
target100__大电池短路数据__0.1Ω_4_cc,0.1Ω 4 cc.xlsx,1,0,target_b1::0.1ω4cc,5,0,0,0,,1
target100__大电池短路数据__0.1Ω_4_difficult,0.1Ω 4 difficult.xlsx,1,0,target_b1::0.1ω4,5,0,0,0,,2
target100__大电池短路数据__0.1Ω_5,0.1Ω 5.xlsx,1,0,target_b1::0.1ω5,6,0,0,0,,2
target100__大电池短路数据__0.1Ω_5_cc,0.1Ω 5 cc.xlsx,1,0,target_b1::0.1ω5cc,5,0,0,0,,1
target100__大电池短路数据__0.1Ω_5_difficult,0.1Ω 5 difficult.xlsx,1,0,target_b1::0.1ω5,6,0,0,0,,2
target100__大电池短路数据__0.1Ω_6,0.1Ω 6.xlsx,1,0,target_b1::0.1ω6,7,0,0,0,,1
target100__大电池短路数据__0.1Ω_6_cc,0.1Ω 6 cc.xlsx,1,0,target_b1::0.1ω6cc,5,0,0,0,,1
target100__大电池短路数据__0.1Ω_7,0.1Ω 7.xlsx,1,0,target_b1::0.1ω7,10,0,0,0,,1
target100__大电池短路数据__0.1Ω_7_cc,0.1Ω 7 cc.xlsx,1,0,target_b1::0.1ω7cc,5,0,0,0,,1
target100__大电池短路数据__0.1Ω_8,0.1Ω 8.xlsx,1,0,target_b1::0.1ω8,10,0,0,0,,1
target100__大电池短路数据__0.1Ω_8_cc,0.1Ω 8 cc.xlsx,1,0,target_b1::0.1ω8cc,7,0,0,0,,1
target100__大电池短路数据__0.1Ω_9_cc,0.1Ω 9 cc.xlsx,1,0,target_b1::0.1ω9cc,6,0,0,0,,1
target100__大电池短路数据__10ohm_cc_1,10ohm cc 1.xlsx,1,0,target_b1::10ohmcc1,7,0,0,0,,1
target100__大电池短路数据__10ohm_cc_10,10ohm cc 10.xlsx,1,0,target_b1::10ohmcc10,6,0,0,0,,1
target100__大电池短路数据__10ohm_cc_2,10ohm cc 2.xlsx,1,0,target_b1::10ohmcc2,6,0,0,0,,1
target100__大电池短路数据__10ohm_cc_3,10ohm cc 3.xlsx,1,0,target_b1::10ohmcc3,12,0,0,0,,1
target100__大电池短路数据__10ohm_cc_4,10ohm cc 4.xlsx,1,0,target_b1::10ohmcc4,1,0,0,0,,1
target100__大电池短路数据__10ohm_cc_5,10ohm cc 5.xlsx,1,0,target_b1::10ohmcc5,4,0,0,0,,1
target100__大电池短路数据__10ohm_cc_6,10ohm cc 6.xlsx,1,0,target_b1::10ohmcc6,5,0,0,0,,1
target100__大电池短路数据__10ohm_cc_7,10ohm cc 7.xlsx,1,0,target_b1::10ohmcc7,8,0,0,0,,1
target100__大电池短路数据__10ohm_cc_8,10ohm cc 8.xlsx,1,0,target_b1::10ohmcc8,6,0,0,0,,1
target100__大电池短路数据__10ohm_cc_9,10ohm cc 9.xlsx,1,0,target_b1::10ohmcc9,5,0,0,0,,1
target100__大电池短路数据__10Ω_1_cc,10Ω 1 cc.xlsx,1,0,target_b1::10ω1cc,6,0,0,0,,1
target100__大电池短路数据__10Ω_1_difficult,10Ω 1 difficult.xlsx,1,0,target_b1::10ω1,4,0,0,0,,2
target100__大电池短路数据__10Ω_2,10Ω 2.xlsx,1,0,target_b1::10ω2,3,0,0,0,,2
target100__大电池短路数据__10Ω_2_difficult,10Ω 2 difficult.xlsx,1,0,target_b1::10ω2,3,0,0,0,,2
target100__大电池短路数据__10Ω_3,10Ω 3.xlsx,1,0,target_b1::10ω3,17,0,0,0,,2
target100__大电池短路数据__10Ω_3_difficult,10Ω 3 difficult.xlsx,1,0,target_b1::10ω3,17,0,0,0,,2
