seed,variant,alpha,mode,base_margin,adder,margin
20,conformal_alpha0.05_add0.000,0.05,conformal,0.0,0.0,0.0
20,conformal_alpha0.05_add0.005,0.05,conformal,0.0,0.005,0.005
20,conformal_alpha0.05_add0.010,0.05,conformal,0.0,0.01,0.01
20,conformal_alpha0.05_add0.020,0.05,conformal,0.0,0.02,0.02
20,conformal_alpha0.05_add0.030,0.05,conformal,0.0,0.03,0.03
20,conformal_alpha0.05_add0.050,0.05,conformal,0.0,0.05,0.05
20,conformal_alpha0.05_add0.080,0.05,conformal,0.0,0.08,0.08
20,max_alpha0.05_add0.000,0.05,max,0.0,0.0,0.0
20,max_alpha0.05_add0.005,0.05,max,0.0,0.005,0.005
20,max_alpha0.05_add0.010,0.05,max,0.0,0.01,0.01
20,max_alpha0.05_add0.020,0.05,max,0.0,0.02,0.02
20,max_alpha0.05_add0.030,0.05,max,0.0,0.03,0.03
20,max_alpha0.05_add0.050,0.05,max,0.0,0.05,0.05
20,max_alpha0.05_add0.080,0.05,max,0.0,0.08,0.08
33,q90_alpha0.20_add0.000,0.2,q90,0.0,0.0,0.0
33,q90_alpha0.20_add0.005,0.2,q90,0.0,0.005,0.005
33,q90_alpha0.20_add0.010,0.2,q90,0.0,0.01,0.01
33,q90_alpha0.20_add0.020,0.2,q90,0.0,0.02,0.02
33,q90_alpha0.20_add0.030,0.2,q90,0.0,0.03,0.03
33,q90_alpha0.20_add0.050,0.2,q90,0.0,0.05,0.05
33,q90_alpha0.20_add0.080,0.2,q90,0.0,0.08,0.08
33,q95_alpha0.20_add0.000,0.2,q95,0.0,0.0,0.0
33,q95_alpha0.20_add0.005,0.2,q95,0.0,0.005,0.005
33,q95_alpha0.20_add0.010,0.2,q95,0.0,0.01,0.01
33,q95_alpha0.20_add0.020,0.2,q95,0.0,0.02,0.02
33,q95_alpha0.20_add0.030,0.2,q95,0.0,0.03,0.03
33,q95_alpha0.20_add0.050,0.2,q95,0.0,0.05,0.05
33,q95_alpha0.20_add0.080,0.2,q95,0.0,0.08,0.08
33,conformal_alpha0.20_add0.000,0.2,conformal,0.0,0.0,0.0
33,conformal_alpha0.20_add0.005,0.2,conformal,0.0,0.005,0.005
33,conformal_alpha0.20_add0.010,0.2,conformal,0.0,0.01,0.01
33,conformal_alpha0.20_add0.020,0.2,conformal,0.0,0.02,0.02
33,conformal_alpha0.20_add0.030,0.2,conformal,0.0,0.03,0.03
33,conformal_alpha0.20_add0.050,0.2,conformal,0.0,0.05,0.05
33,conformal_alpha0.20_add0.080,0.2,conformal,0.0,0.08,0.08
33,max_alpha0.20_add0.000,0.2,max,0.0,0.0,0.0
33,max_alpha0.20_add0.005,0.2,max,0.0,0.005,0.005
33,max_alpha0.20_add0.010,0.2,max,0.0,0.01,0.01
33,max_alpha0.20_add0.020,0.2,max,0.0,0.02,0.02
33,max_alpha0.20_add0.030,0.2,max,0.0,0.03,0.03
33,max_alpha0.20_add0.050,0.2,max,0.0,0.05,0.05
33,max_alpha0.20_add0.080,0.2,max,0.0,0.08,0.08
33,q90_alpha0.10_add0.000,0.1,q90,0.0,0.0,0.0
33,q90_alpha0.10_add0.005,0.1,q90,0.0,0.005,0.005
33,q90_alpha0.10_add0.010,0.1,q90,0.0,0.01,0.01
33,q90_alpha0.10_add0.020,0.1,q90,0.0,0.02,0.02
33,q90_alpha0.10_add0.030,0.1,q90,0.0,0.03,0.03
33,q90_alpha0.10_add0.050,0.1,q90,0.0,0.05,0.05
33,q90_alpha0.10_add0.080,0.1,q90,0.0,0.08,0.08
33,q95_alpha0.10_add0.000,0.1,q95,0.0,0.0,0.0
33,q95_alpha0.10_add0.005,0.1,q95,0.0,0.005,0.005
33,q95_alpha0.10_add0.010,0.1,q95,0.0,0.01,0.01
