seed,variant,alpha,mode,base_margin,adder,margin
0,conformal_alpha0.05_add0.080,0.05,conformal,0.0,0.08,0.08
0,max_alpha0.05_add0.000,0.05,max,0.0,0.0,0.0
0,max_alpha0.05_add0.005,0.05,max,0.0,0.005,0.005
0,max_alpha0.05_add0.010,0.05,max,0.0,0.01,0.01
0,max_alpha0.05_add0.020,0.05,max,0.0,0.02,0.02
0,max_alpha0.05_add0.030,0.05,max,0.0,0.03,0.03
0,max_alpha0.05_add0.050,0.05,max,0.0,0.05,0.05
0,max_alpha0.05_add0.080,0.05,max,0.0,0.08,0.08
4,q90_alpha0.20_add0.000,0.2,q90,0.0,0.0,0.0
4,q90_alpha0.20_add0.005,0.2,q90,0.0,0.005,0.005
4,q90_alpha0.20_add0.010,0.2,q90,0.0,0.01,0.01
4,q90_alpha0.20_add0.020,0.2,q90,0.0,0.02,0.02
4,q90_alpha0.20_add0.030,0.2,q90,0.0,0.03,0.03
4,q90_alpha0.20_add0.050,0.2,q90,0.0,0.05,0.05
4,q90_alpha0.20_add0.080,0.2,q90,0.0,0.08,0.08
4,q95_alpha0.20_add0.000,0.2,q95,0.0,0.0,0.0
4,q95_alpha0.20_add0.005,0.2,q95,0.0,0.005,0.005
4,q95_alpha0.20_add0.010,0.2,q95,0.0,0.01,0.01
4,q95_alpha0.20_add0.020,0.2,q95,0.0,0.02,0.02
4,q95_alpha0.20_add0.030,0.2,q95,0.0,0.03,0.03
4,q95_alpha0.20_add0.050,0.2,q95,0.0,0.05,0.05
4,q95_alpha0.20_add0.080,0.2,q95,0.0,0.08,0.08
4,conformal_alpha0.20_add0.000,0.2,conformal,0.0,0.0,0.0
4,conformal_alpha0.20_add0.005,0.2,conformal,0.0,0.005,0.005
4,conformal_alpha0.20_add0.010,0.2,conformal,0.0,0.01,0.01
4,conformal_alpha0.20_add0.020,0.2,conformal,0.0,0.02,0.02
4,conformal_alpha0.20_add0.030,0.2,conformal,0.0,0.03,0.03
4,conformal_alpha0.20_add0.050,0.2,conformal,0.0,0.05,0.05
4,conformal_alpha0.20_add0.080,0.2,conformal,0.0,0.08,0.08
4,max_alpha0.20_add0.000,0.2,max,0.0,0.0,0.0
4,max_alpha0.20_add0.005,0.2,max,0.0,0.005,0.005
4,max_alpha0.20_add0.010,0.2,max,0.0,0.01,0.01
4,max_alpha0.20_add0.020,0.2,max,0.0,0.02,0.02
4,max_alpha0.20_add0.030,0.2,max,0.0,0.03,0.03
4,max_alpha0.20_add0.050,0.2,max,0.0,0.05,0.05
4,max_alpha0.20_add0.080,0.2,max,0.0,0.08,0.08
4,q90_alpha0.10_add0.000,0.1,q90,0.0,0.0,0.0
4,q90_alpha0.10_add0.005,0.1,q90,0.0,0.005,0.005
4,q90_alpha0.10_add0.010,0.1,q90,0.0,0.01,0.01
4,q90_alpha0.10_add0.020,0.1,q90,0.0,0.02,0.02
4,q90_alpha0.10_add0.030,0.1,q90,0.0,0.03,0.03
4,q90_alpha0.10_add0.050,0.1,q90,0.0,0.05,0.05
4,q90_alpha0.10_add0.080,0.1,q90,0.0,0.08,0.08
4,q95_alpha0.10_add0.000,0.1,q95,0.0,0.0,0.0
4,q95_alpha0.10_add0.005,0.1,q95,0.0,0.005,0.005
4,q95_alpha0.10_add0.010,0.1,q95,0.0,0.01,0.01
4,q95_alpha0.10_add0.020,0.1,q95,0.0,0.02,0.02
4,q95_alpha0.10_add0.030,0.1,q95,0.0,0.03,0.03
4,q95_alpha0.10_add0.050,0.1,q95,0.0,0.05,0.05
4,q95_alpha0.10_add0.080,0.1,q95,0.0,0.08,0.08
4,conformal_alpha0.10_add0.000,0.1,conformal,0.0,0.0,0.0
4,conformal_alpha0.10_add0.005,0.1,conformal,0.0,0.005,0.005
4,conformal_alpha0.10_add0.010,0.1,conformal,0.0,0.01,0.01
4,conformal_alpha0.10_add0.020,0.1,conformal,0.0,0.02,0.02
4,conformal_alpha0.10_add0.030,0.1,conformal,0.0,0.03,0.03
4,conformal_alpha0.10_add0.050,0.1,conformal,0.0,0.05,0.05
4,conformal_alpha0.10_add0.080,0.1,conformal,0.0,0.08,0.08
4,max_alpha0.10_add0.000,0.1,max,0.0,0.0,0.0
4,max_alpha0.10_add0.005,0.1,max,0.0,0.005,0.005
4,max_alpha0.10_add0.010,0.1,max,0.0,0.01,0.01
4,max_alpha0.10_add0.020,0.1,max,0.0,0.02,0.02
4,max_alpha0.10_add0.030,0.1,max,0.0,0.03,0.03
4,max_alpha0.10_add0.050,0.1,max,0.0,0.05,0.05
4,max_alpha0.10_add0.080,0.1,max,0.0,0.08,0.08
4,q90_alpha0.05_add0.000,0.05,q90,0.0,0.0,0.0
4,q90_alpha0.05_add0.005,0.05,q90,0.0,0.005,0.005
4,q90_alpha0.05_add0.010,0.05,q90,0.0,0.01,0.01
4,q90_alpha0.05_add0.020,0.05,q90,0.0,0.02,0.02
4,q90_alpha0.05_add0.030,0.05,q90,0.0,0.03,0.03
4,q90_alpha0.05_add0.050,0.05,q90,0.0,0.05,0.05
4,q90_alpha0.05_add0.080,0.05,q90,0.0,0.08,0.08
4,q95_alpha0.05_add0.000,0.05,q95,0.0,0.0,0.0
4,q95_alpha0.05_add0.005,0.05,q95,0.0,0.005,0.005
4,q95_alpha0.05_add0.010,0.05,q95,0.0,0.01,0.01
4,q95_alpha0.05_add0.020,0.05,q95,0.0,0.02,0.02
4,q95_alpha0.05_add0.030,0.05,q95,0.0,0.03,0.03
4,q95_alpha0.05_add0.050,0.05,q95,0.0,0.05,0.05
4,q95_alpha0.05_add0.080,0.05,q95,0.0,0.08,0.08
4,conformal_alpha0.05_add0.000,0.05,conformal,0.0,0.0,0.0
4,conformal_alpha0.05_add0.005,0.05,conformal,0.0,0.005,0.005
4,conformal_alpha0.05_add0.010,0.05,conformal,0.0,0.01,0.01
4,conformal_alpha0.05_add0.020,0.05,conformal,0.0,0.02,0.02
4,conformal_alpha0.05_add0.030,0.05,conformal,0.0,0.03,0.03
4,conformal_alpha0.05_add0.050,0.05,conformal,0.0,0.05,0.05
4,conformal_alpha0.05_add0.080,0.05,conformal,0.0,0.08,0.08
4,max_alpha0.05_add0.000,0.05,max,0.0,0.0,0.0
4,max_alpha0.05_add0.005,0.05,max,0.0,0.005,0.005
4,max_alpha0.05_add0.010,0.05,max,0.0,0.01,0.01
4,max_alpha0.05_add0.020,0.05,max,0.0,0.02,0.02
4,max_alpha0.05_add0.030,0.05,max,0.0,0.03,0.03
4,max_alpha0.05_add0.050,0.05,max,0.0,0.05,0.05
4,max_alpha0.05_add0.080,0.05,max,0.0,0.08,0.08
7,q90_alpha0.20_add0.000,0.2,q90,0.0,0.0,0.0
7,q90_alpha0.20_add0.005,0.2,q90,0.0,0.005,0.005
7,q90_alpha0.20_add0.010,0.2,q90,0.0,0.01,0.01
7,q90_alpha0.20_add0.020,0.2,q90,0.0,0.02,0.02
7,q90_alpha0.20_add0.030,0.2,q90,0.0,0.03,0.03
7,q90_alpha0.20_add0.050,0.2,q90,0.0,0.05,0.05
7,q90_alpha0.20_add0.080,0.2,q90,0.0,0.08,0.08
7,q95_alpha0.20_add0.000,0.2,q95,0.0,0.0,0.0
7,q95_alpha0.20_add0.005,0.2,q95,0.0,0.005,0.005
7,q95_alpha0.20_add0.010,0.2,q95,0.0,0.01,0.01
7,q95_alpha0.20_add0.020,0.2,q95,0.0,0.02,0.02
7,q95_alpha0.20_add0.030,0.2,q95,0.0,0.03,0.03
7,q95_alpha0.20_add0.050,0.2,q95,0.0,0.05,0.05
7,q95_alpha0.20_add0.080,0.2,q95,0.0,0.08,0.08
7,conformal_alpha0.20_add0.000,0.2,conformal,0.0,0.0,0.0
7,conformal_alpha0.20_add0.005,0.2,conformal,0.0,0.005,0.005
7,conformal_alpha0.20_add0.010,0.2,conformal,0.0,0.01,0.01
7,conformal_alpha0.20_add0.020,0.2,conformal,0.0,0.02,0.02
7,conformal_alpha0.20_add0.030,0.2,conformal,0.0,0.03,0.03
7,conformal_alpha0.20_add0.050,0.2,conformal,0.0,0.05,0.05
7,conformal_alpha0.20_add0.080,0.2,conformal,0.0,0.08,0.08
7,max_alpha0.20_add0.000,0.2,max,0.0,0.0,0.0
7,max_alpha0.20_add0.005,0.2,max,0.0,0.005,0.005
7,max_alpha0.20_add0.010,0.2,max,0.0,0.01,0.01
7,max_alpha0.20_add0.020,0.2,max,0.0,0.02,0.02
7,max_alpha0.20_add0.030,0.2,max,0.0,0.03,0.03
7,max_alpha0.20_add0.050,0.2,max,0.0,0.05,0.05
7,max_alpha0.20_add0.080,0.2,max,0.0,0.08,0.08
7,q90_alpha0.10_add0.000,0.1,q90,0.0,0.0,0.0
7,q90_alpha0.10_add0.005,0.1,q90,0.0,0.005,0.005
7,q90_alpha0.10_add0.010,0.1,q90,0.0,0.01,0.01
7,q90_alpha0.10_add0.020,0.1,q90,0.0,0.02,0.02
7,q90_alpha0.10_add0.030,0.1,q90,0.0,0.03,0.03
7,q90_alpha0.10_add0.050,0.1,q90,0.0,0.05,0.05
7,q90_alpha0.10_add0.080,0.1,q90,0.0,0.08,0.08
7,q95_alpha0.10_add0.000,0.1,q95,0.0,0.0,0.0
7,q95_alpha0.10_add0.005,0.1,q95,0.0,0.005,0.005
7,q95_alpha0.10_add0.010,0.1,q95,0.0,0.01,0.01
7,q95_alpha0.10_add0.020,0.1,q95,0.0,0.02,0.02
7,q95_alpha0.10_add0.030,0.1,q95,0.0,0.03,0.03
7,q95_alpha0.10_add0.050,0.1,q95,0.0,0.05,0.05
7,q95_alpha0.10_add0.080,0.1,q95,0.0,0.08,0.08
7,conformal_alpha0.10_add0.000,0.1,conformal,0.0,0.0,0.0
7,conformal_alpha0.10_add0.005,0.1,conformal,0.0,0.005,0.005
7,conformal_alpha0.10_add0.010,0.1,conformal,0.0,0.01,0.01
7,conformal_alpha0.10_add0.020,0.1,conformal,0.0,0.02,0.02
7,conformal_alpha0.10_add0.030,0.1,conformal,0.0,0.03,0.03
7,conformal_alpha0.10_add0.050,0.1,conformal,0.0,0.05,0.05
7,conformal_alpha0.10_add0.080,0.1,conformal,0.0,0.08,0.08
7,max_alpha0.10_add0.000,0.1,max,0.0,0.0,0.0
7,max_alpha0.10_add0.005,0.1,max,0.0,0.005,0.005
7,max_alpha0.10_add0.010,0.1,max,0.0,0.01,0.01
7,max_alpha0.10_add0.020,0.1,max,0.0,0.02,0.02
7,max_alpha0.10_add0.030,0.1,max,0.0,0.03,0.03
7,max_alpha0.10_add0.050,0.1,max,0.0,0.05,0.05
7,max_alpha0.10_add0.080,0.1,max,0.0,0.08,0.08
7,q90_alpha0.05_add0.000,0.05,q90,0.0,0.0,0.0
7,q90_alpha0.05_add0.005,0.05,q90,0.0,0.005,0.005
7,q90_alpha0.05_add0.010,0.05,q90,0.0,0.01,0.01
7,q90_alpha0.05_add0.020,0.05,q90,0.0,0.02,0.02
7,q90_alpha0.05_add0.030,0.05,q90,0.0,0.03,0.03
7,q90_alpha0.05_add0.050,0.05,q90,0.0,0.05,0.05
7,q90_alpha0.05_add0.080,0.05,q90,0.0,0.08,0.08
7,q95_alpha0.05_add0.000,0.05,q95,0.0,0.0,0.0
7,q95_alpha0.05_add0.005,0.05,q95,0.0,0.005,0.005
7,q95_alpha0.05_add0.010,0.05,q95,0.0,0.01,0.01
7,q95_alpha0.05_add0.020,0.05,q95,0.0,0.02,0.02
7,q95_alpha0.05_add0.030,0.05,q95,0.0,0.03,0.03
7,q95_alpha0.05_add0.050,0.05,q95,0.0,0.05,0.05
7,q95_alpha0.05_add0.080,0.05,q95,0.0,0.08,0.08
7,conformal_alpha0.05_add0.000,0.05,conformal,0.0,0.0,0.0
7,conformal_alpha0.05_add0.005,0.05,conformal,0.0,0.005,0.005
7,conformal_alpha0.05_add0.010,0.05,conformal,0.0,0.01,0.01
7,conformal_alpha0.05_add0.020,0.05,conformal,0.0,0.02,0.02
7,conformal_alpha0.05_add0.030,0.05,conformal,0.0,0.03,0.03
7,conformal_alpha0.05_add0.050,0.05,conformal,0.0,0.05,0.05
7,conformal_alpha0.05_add0.080,0.05,conformal,0.0,0.08,0.08
7,max_alpha0.05_add0.000,0.05,max,0.0,0.0,0.0
7,max_alpha0.05_add0.005,0.05,max,0.0,0.005,0.005
7,max_alpha0.05_add0.010,0.05,max,0.0,0.01,0.01
7,max_alpha0.05_add0.020,0.05,max,0.0,0.02,0.02
7,max_alpha0.05_add0.030,0.05,max,0.0,0.03,0.03
7,max_alpha0.05_add0.050,0.05,max,0.0,0.05,0.05
7,max_alpha0.05_add0.080,0.05,max,0.0,0.08,0.08
20,q90_alpha0.20_add0.000,0.2,q90,0.0,0.0,0.0
20,q90_alpha0.20_add0.005,0.2,q90,0.0,0.005,0.005
20,q90_alpha0.20_add0.010,0.2,q90,0.0,0.01,0.01
20,q90_alpha0.20_add0.020,0.2,q90,0.0,0.02,0.02
20,q90_alpha0.20_add0.030,0.2,q90,0.0,0.03,0.03
20,q90_alpha0.20_add0.050,0.2,q90,0.0,0.05,0.05
20,q90_alpha0.20_add0.080,0.2,q90,0.0,0.08,0.08
20,q95_alpha0.20_add0.000,0.2,q95,0.0,0.0,0.0
20,q95_alpha0.20_add0.005,0.2,q95,0.0,0.005,0.005
20,q95_alpha0.20_add0.010,0.2,q95,0.0,0.01,0.01
20,q95_alpha0.20_add0.020,0.2,q95,0.0,0.02,0.02
20,q95_alpha0.20_add0.030,0.2,q95,0.0,0.03,0.03
20,q95_alpha0.20_add0.050,0.2,q95,0.0,0.05,0.05
20,q95_alpha0.20_add0.080,0.2,q95,0.0,0.08,0.08
20,conformal_alpha0.20_add0.000,0.2,conformal,0.0,0.0,0.0
20,conformal_alpha0.20_add0.005,0.2,conformal,0.0,0.005,0.005
20,conformal_alpha0.20_add0.010,0.2,conformal,0.0,0.01,0.01
20,conformal_alpha0.20_add0.020,0.2,conformal,0.0,0.02,0.02
20,conformal_alpha0.20_add0.030,0.2,conformal,0.0,0.03,0.03
20,conformal_alpha0.20_add0.050,0.2,conformal,0.0,0.05,0.05
20,conformal_alpha0.20_add0.080,0.2,conformal,0.0,0.08,0.08
20,max_alpha0.20_add0.000,0.2,max,0.0,0.0,0.0
20,max_alpha0.20_add0.005,0.2,max,0.0,0.005,0.005
20,max_alpha0.20_add0.010,0.2,max,0.0,0.01,0.01
20,max_alpha0.20_add0.020,0.2,max,0.0,0.02,0.02
20,max_alpha0.20_add0.030,0.2,max,0.0,0.03,0.03
20,max_alpha0.20_add0.050,0.2,max,0.0,0.05,0.05
20,max_alpha0.20_add0.080,0.2,max,0.0,0.08,0.08
20,q90_alpha0.10_add0.000,0.1,q90,0.0,0.0,0.0
20,q90_alpha0.10_add0.005,0.1,q90,0.0,0.005,0.005
20,q90_alpha0.10_add0.010,0.1,q90,0.0,0.01,0.01
20,q90_alpha0.10_add0.020,0.1,q90,0.0,0.02,0.02
20,q90_alpha0.10_add0.030,0.1,q90,0.0,0.03,0.03
20,q90_alpha0.10_add0.050,0.1,q90,0.0,0.05,0.05
20,q90_alpha0.10_add0.080,0.1,q90,0.0,0.08,0.08
20,q95_alpha0.10_add0.000,0.1,q95,0.0,0.0,0.0
20,q95_alpha0.10_add0.005,0.1,q95,0.0,0.005,0.005
20,q95_alpha0.10_add0.010,0.1,q95,0.0,0.01,0.01
20,q95_alpha0.10_add0.020,0.1,q95,0.0,0.02,0.02
20,q95_alpha0.10_add0.030,0.1,q95,0.0,0.03,0.03
20,q95_alpha0.10_add0.050,0.1,q95,0.0,0.05,0.05
20,q95_alpha0.10_add0.080,0.1,q95,0.0,0.08,0.08
20,conformal_alpha0.10_add0.000,0.1,conformal,0.0,0.0,0.0
20,conformal_alpha0.10_add0.005,0.1,conformal,0.0,0.005,0.005
20,conformal_alpha0.10_add0.010,0.1,conformal,0.0,0.01,0.01
20,conformal_alpha0.10_add0.020,0.1,conformal,0.0,0.02,0.02
20,conformal_alpha0.10_add0.030,0.1,conformal,0.0,0.03,0.03
20,conformal_alpha0.10_add0.050,0.1,conformal,0.0,0.05,0.05
20,conformal_alpha0.10_add0.080,0.1,conformal,0.0,0.08,0.08
20,max_alpha0.10_add0.000,0.1,max,0.0,0.0,0.0
20,max_alpha0.10_add0.005,0.1,max,0.0,0.005,0.005
20,max_alpha0.10_add0.010,0.1,max,0.0,0.01,0.01
20,max_alpha0.10_add0.020,0.1,max,0.0,0.02,0.02
20,max_alpha0.10_add0.030,0.1,max,0.0,0.03,0.03
20,max_alpha0.10_add0.050,0.1,max,0.0,0.05,0.05
20,max_alpha0.10_add0.080,0.1,max,0.0,0.08,0.08
20,q90_alpha0.05_add0.000,0.05,q90,0.0,0.0,0.0
20,q90_alpha0.05_add0.005,0.05,q90,0.0,0.005,0.005
20,q90_alpha0.05_add0.010,0.05,q90,0.0,0.01,0.01
20,q90_alpha0.05_add0.020,0.05,q90,0.0,0.02,0.02
20,q90_alpha0.05_add0.030,0.05,q90,0.0,0.03,0.03
20,q90_alpha0.05_add0.050,0.05,q90,0.0,0.05,0.05
20,q90_alpha0.05_add0.080,0.05,q90,0.0,0.08,0.08
20,q95_alpha0.05_add0.000,0.05,q95,0.0,0.0,0.0
20,q95_alpha0.05_add0.005,0.05,q95,0.0,0.005,0.005
20,q95_alpha0.05_add0.010,0.05,q95,0.0,0.01,0.01
20,q95_alpha0.05_add0.020,0.05,q95,0.0,0.02,0.02
20,q95_alpha0.05_add0.030,0.05,q95,0.0,0.03,0.03
20,q95_alpha0.05_add0.050,0.05,q95,0.0,0.05,0.05
20,q95_alpha0.05_add0.080,0.05,q95,0.0,0.08,0.08
