accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,conformal_alpha0.05,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,q90_alpha0.05,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,max_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.05,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,max_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.15,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.15,0.0
