accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.8846153846153846,0.8695652173913043,1.0,0.5,0.9302325581395349,0.0,3,0,40.0,65.0,0
0.9230769230769231,0.9130434782608695,1.0,0.6,0.9545454545454545,0.5,2,0,40.0,140.0,4
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,40.58,7
0.88,0.8636363636363636,1.0,0.5,0.9268292682926829,0.0,3,0,40.0,45.0899999999999,20
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,45.9,33
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.0,2,0,40.0,46.85500000000001,55
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.0,1,1,65.0,66.25000000000001,69
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,40.115,72
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,45.09500000000007,73
0.8518518518518519,0.95,0.8636363636363636,0.8,0.9047619047619048,0.0,1,3,40.0,65.0,88
